id,name,original_season_id,real_name,dob,gender,hometown,location,type,miss_con,final_place,safe,win,high,btm,birth_year,age
Q349,Cherry Valentine,F14S02,George Ward,"November 30, 1993",Genderfluid,"Darlington, County Durham, England, UK","London, England, UK",Pageant,0.0,12,1,0,0,0,1993.0,30.0
Q350,Ellie Diamond,F14S02,Elliot Glen,"December 20, 1998",,"Broughty Ferry, Dundee, Scotland, UK","Manchester, England, UK",Comedy,0.0,4,4,0,3,1,1998.0,25.0
Q351,Ginny Lemon,F14S02,Lewis Croucher,"February 6, 1989",Non-Binary,"Worcester, Worcestershire, England, UK","Worcester, Worcestershire, England, UK",Spooky,0.0,10,2,0,0,1,1989.0,34.0
Q352,Joe Black,F14S02,Joe Black,"December 23, 1989",,"Portsmouth, Hampshire, England, UK","Brighton, East Sussex, England, UK",Spooky,0.0,8,0,0,0,0,1989.0,34.0
Q353,Lawrence Chaney,F14S02,Lawrence Maidment,"October 16, 1996",,"Helensburgh, Dunbartonshire, Scotland, UK","Glasgow, Scotland, UK",Comedy,0.0,1,0,4,3,1,1996.0,27.0
Q354,Sister Sister,F14S02,"Philip ""Pip"" Doran","September 2, 1988",,"Liverpool, Merseyside, England, UK","Liverpool, Merseyside, England, UK",Comedy,0.0,6,2,0,1,1,1988.0,35.0
Q355,Tayce,F14S02,Tayce Szura-Radix,"May 28, 1994",,"Newport, Gwent, Wales, UK","London, England, UK",Pageant,0.0,3,3,1,1,4,1994.0,29.0
Q356,Tia Kofi,F14S02,Lawrence Bolton,"September 30, 1990",,"Essex, England, UK","Clapham, South London, England, UK",Club,0.0,7,2,0,1,2,1990.0,33.0
Q357,Veronica Green,F14S02,Kevin Max Grogan,"April 23, 1985",,"Rochdale, Lancashire, England, UK","London, England, UK",Pageant,0.0,9,1,1,1,0,1985.0,38.0
Q358,Anita Wigl'it,F17S01,Nicholas Kennedy-Hall,"July 8, 1989",,"Leigh, New Zealand","Auckland, New Zealand",Spooky,0.0,8,1,1,1,0,1989.0,34.0
Q359,Art Simone,F17S01,Jack Daye,"September 9, 1992",,"Geelong, VIC, Australia","Melbourne, VIC, Australia",Comedy,0.0,2,2,0,2,0,1992.0,31.0
Q360,Coco Jumbo,F17S01,Luke Viti Waqa,"February 14, 1991",,"Coffs Harbour, NSW, Australia","Sydney, NSW, Australia",Pageant,0.0,9,0,0,0,1,1991.0,32.0
Q361,Elektra Shock,F17S01,James Luck,"October 1, 1993",Male,"Invercargill, Southland, New Zealand","Auckland, New Zealand",Club,0.0,5,1,1,0,2,1993.0,30.0
Q362,Etcetera Etcetera,F17S01,Oliver Levi-Malouf,"March 12, 1998",Non-Binary,"Canberra, ACT, Australia","Sydney, NSW, Australia",Spooky,0.0,7,3,0,0,0,1998.0,25.0
Q363,Jojo Zaho,F17S01,John Ridgeway,"November 30, 1990",,"Newcastle, NSW, Australia","Newcastle, NSW, Australia",Look,0.0,10,0,0,0,0,1990.0,33.0
Q364,Karen from Finance,F17S01,Richard Chadwick,"April 15, 1989",Male,"Melbourne, VIC, Australia","Melbourne, VIC, Australia",Comedy,0.0,3,1,1,1,1,1989.0,34.0
Q365,Kita Mean,F17S01,Nick Nash,"April 14, 1986",,"Auckland, New Zealand","Pukekohe, New Zealand",Look,0.0,1,3,2,2,1,1986.0,37.0
Q366,Maxi Shield,F17S01,Kris Elliot,"June 1, 1974",,"Ballina, NSW, Australia","Sydney, NSW, Australia",Pageant,0.0,6,1,0,1,1,1974.0,49.0
Q367,Scarlet Adams,F17S01,Anthony Price,"February 17, 1993",,"Perth, WA, Australia","Sydney, NSW, Australia",Club,0.0,4,1,3,1,1,1993.0,30.0
Q368,Arantxa Castilla La Mancha,F18S01,José Méndez García,"December 1, 1997",Non-Binary,"Badajoz, EX, Spain","Madrid, MD, Spain",Club,0.0,7,2,0,0,1,1997.0,26.0
Q369,Carmen Farala,F18S01,Daniel Mora Rojas,"November 4, 1989",Male,"Sevilla, AN, Spain","Madrid, MD, Spain",Look,0.0,1,1,4,2,0,1989.0,34.0
Q370,Dovima Nurmi,F18S01,Rafael De Lorente,"June 9, 1996",Male,,"Barcelona, CT, Spain",Pageant,0.0,5,3,0,0,2,1996.0,27.0
Q371,Drag Vulcano,F18S01,Isidro Javier Pérez Mateo,"June 2, 1992",Male,"Gáldar, CN, Spain","Las Palmas, CN, Spain",Comedy,0.0,9,1,0,0,0,1992.0,31.0
Q372,Hugáceo Crujiente,F18S01,Hugo Díaz,"December 2, 1995",Non-Binary,"Getafe, MD, Spain","Valencia, VC, Spain",Spooky,0.0,6,2,1,0,1,1995.0,28.0
Q373,Inti,F18S01,José Otero Aguilera,"November 20, 2000",Non-Binary,"Madrid, MD, Spain","Antwerp, ANT, Belgium",Club,0.0,8,1,0,0,1,2000.0,23.0
Q374,Killer Queen,F18S01,Iván Soler Gil,"February 2, 1989",Male,,"Madrid, MD, Spain",Comedy,0.0,2,3,1,1,2,1989.0,34.0
Q375,Pupi Poisson,F18S01,Alberto Zimmer,"April 2, 1982",Male,"Madrid, MD, Spain","Madrid, MD, Spain",Comedy,1.0,4,0,1,3,0,1982.0,41.0
Q376,Sagittaria,F18S01,Iván Flores,"July 13, 1998",Male,,"Barcelona, CT, Spain",Pageant,0.0,3,2,1,2,2,1998.0,25.0
Q377,The Macarena,F18S01,Isaac Garabito López,"May 25, 1991",Non-Binary,,"San Fernando, Cádiz, AN, Spain",Club,0.0,10,0,0,0,0,1991.0,32.0
Q378,Ivy-Elyse,F16S02,RyanTino Troenokarso,"February 10, 1986",Male,,"Amsterdam, North Holland, Netherlands",Pageant,0.0,7,0,0,0,2,1986.0,37.0
Q379,Juicy Kutoure,F16S02,Mishel Bronx,"January 24, 1997",Genderqueer,,"Amsterdam, North Holland, Netherlands",Pageant,0.0,10,0,0,0,0,1997.0,26.0
Q380,Keta Minaj,F16S02,Bobby Snijder,"October 15, 1980",Male,TBA,"Amsterdam, North Holland, Netherlands",Club,0.0,4,1,3,2,0,1980.0,43.0
Q381,Love Masisi,F16S02,Pierre Alexandre,"July 9, 1978",Non-Binary,"New York City, NY, USA","Amsterdam, North Holland, Netherlands",Spooky,0.0,8,1,0,1,0,1978.0,45.0
Q382,My Little Puny,F16S02,Boris Schreurs,"July 9, 1982",Male,"Leiden, South Holland, Netherlands","Amsterdam, North Holland, Netherlands",Spooky,0.0,2,2,2,2,1,1982.0,41.0
Q383,Reggy B,F16S02,Bram Louts,"April 20, 1996",Male,,"Amsterdam, North Holland, Netherlands",Club,0.0,9,0,0,0,1,1996.0,27.0
Q384,Tabitha,F16S02,Edson de Randamie,"April 1, 1975",Male,,"Amsterdam, North Holland, Netherlands",Club,1.0,5,1,0,1,1,1975.0,48.0
Q385,The Countess,F16S02,Tom Haegens,"April 4, 1999",Male,,"Amsterdam, North Holland, Netherlands",Look,0.0,6,2,1,0,1,1999.0,24.0
Q386,Vanessa Van Cartier,F16S02,Vanessa Crokaert,"December 3, 1979",Female,"Zele, East Flanders, Belgium","Rotterdam, South Holland, Netherlands",Club,0.0,1,3,2,1,0,1979.0,44.0
Q387,Vivaldi,F16S02,Tim Loohuis,"May 6, 1999",Non-Binary,,"Enschede, Overijssel, Netherlands",Club,0.0,3,1,1,3,2,1999.0,24.0
Q388,Anubis,F14S03,Charli Paul Frank Monét Finch,"August 14, 2001",Non-Binary,"Brighton, East Sussex, England, UK","Brighton, East Sussex, England, UK",Comedy,0.0,12,0,0,0,0,2001.0,22.0
Q389,Charity Kase,F14S03,Harry Whitfield,"November 16, 1996",,"Rufford, Lancashire, England, UK","London, England, UK",Spooky,0.0,8,2,0,0,1,1996.0,27.0
Q390,Choriza May,F14S03,Adrián Martín,"February 20, 1991",,,"Newcastle, Tyne and Wear, England, UK",Comedy,0.0,6,3,1,0,0,1991.0,32.0
Q391,Elektra Fence,F14S03,Julian Riley,"January 14, 1992",,"Burnley, Lancashire, England, UK","London, England, UK",Club,0.0,11,0,0,0,1,1992.0,31.0
Q392,Ella Vaday,F14S03,Nicholas Collier,"September 23, 1988",,"Dagenham, East London, England, UK","Dagenham, East London, England, UK",Pageant,0.0,2,3,4,2,0,1988.0,35.0
Q393,Kitty Scott-Claus,F14S03,Louis Westwood,"February 20, 1992",,"Birmingham, West Midlands, England, UK","London, England, UK",Comedy,0.0,3,4,2,3,0,1992.0,31.0
Q394,Krystal Versace,F14S03,Luke Fenn,"October 10, 2001",,"Royal Tunbridge Wells, Kent, England, UK","London, England, UK",Look,0.0,1,2,3,3,1,2001.0,22.0
Q395,River Medway,F14S03,Dexter Clift,"April 8, 1998",,"Medway, Kent, England, UK",,Club,0.0,7,3,1,0,0,1998.0,25.0
Q396,Scarlett Harlett,F14S03,Harry Luke Mulvany,"August 2, 1994",,"Isle of Dogs, East London, England, UK","London, England, UK",Pageant,0.0,5,2,1,1,2,1994.0,29.0
Q397,Vanity Milan,F14S03,Christopher Alexander Adamson,"October 22, 1991",,"Mitcham, South London, England, UK","London, England, UK",Look,0.0,4,2,1,1,3,1991.0,32.0
Q398,Victoria Scone,F14S03,Emily Diapre,"April 6, 1993",Female,"Portsmouth, Hampshire, England, UK","Cardiff, Wales, UK",Comedy,0.0,10,1,0,0,0,1993.0,30.0
Q399,Adriana,F15S02,Daniel Albornoz,"September 3, 1991",,"Quebec City, QC, Canada","Montréal, QC, Canada",Pageant,0.0,5,2,1,1,0,1991.0,32.0
Q400,Beth,F15S02,Rolland Bissonette,"January 14, 1997",Two-Spirit,"Nelson, BC, Canada","Vancouver, BC, Canada",Comedy,0.0,12,0,0,0,0,1997.0,26.0
Q401,Eve 6000,F15S02,,"June 20, 1991",Non-Binary Female,"London, ON, Canada","Toronto, ON, Canada",Pageant,0.0,8,0,0,1,1,1991.0,32.0
Q402,Gia Metric,F15S02,Giorgio Triberio,"April 16, 1992",Non-Binary,"Toronto, ON, Canada","Vancouver, BC, Canada",Club,0.0,4,1,1,4,2,1992.0,31.0
Q403,Icesis Couture,F15S02,Steven Granados-Portelance,"February 3, 1987",,"Ottawa, ON, Canada","Ottawa, ON, Canada",Pageant,0.0,1,2,4,2,2,1987.0,36.0
Q404,Kendall Gender,F15S02,Kenneth Wyse,"July 16, 1990",Male,,"Vancouver, BC, Canada",Comedy,0.0,2,2,2,1,1,1990.0,33.0
Q405,Kimora Amour,F15S02,Justin Monroe,"October 26, 1987",Male,TBA,"Scarborough, Toronto, ON, Canada",Club,0.0,6,4,0,2,0,1987.0,36.0
Q406,Océane Aqua-Black,F15S02,Thierry Simard,"August 4, 1985",,"Baie-Saint-Paul, Charlevoix, QC, Canada","Quebec City, QC, Canada",Club,0.0,11,1,0,0,0,1985.0,38.0
Q407,Pythia,F15S02,Christos Darlasis(EL: Χρήστος Δαρλάσης),"October 4, 1995",Non-Binary,"Argos, Greece","Montréal, QC, Canada",Comedy,0.0,3,2,3,3,0,1995.0,28.0
Q408,Stephanie Prince,F15S02,Stephen Pasay,"November 4, 1997",,,"Calgary, AB, Canada",Club,0.0,10,1,0,1,0,1997.0,26.0
Q409,Suki Doll,F15S02,André Pham,"July 4, 1993",,"Montréal, QC, Canada","Montréal, QC, Canada",Spooky,1.0,9,1,0,1,0,1993.0,30.0
Q410,Synthia Kiss,F15S02,Daniel Finlan,"March 23, 1992",,"Peterborough, ON, Canada","Vancouver, BC, Canada",Comedy,0.0,7,2,1,0,2,1992.0,31.0
Q411,Ava Hangar,F19S01,Riccardo Massidda,36,Male,"Carbonia, Sardinia, Italy","Rome, Lazio, Italy",Pageant,0.0,5,2,0,0,2,1986.0,37.0
Q412,Divinity,F19S01,Maurizio Perillo,"May 24, 1994",Male,"Naples, Campania, Italy","Naples, Campania, Italy",Club,0.0,6,1,1,0,1,1994.0,29.0
Q413,Elecktra Bionic,F19S01,Mattia Di Renzo,"May 16, 1994",Genderfluid,"Beinasco, Piedmont, Italy","Turin, Piedmont, Italy",Look,0.0,1,4,1,1,0,1994.0,29.0
Q414,Enorma Jean,F19S01,Davide Gatto,46,Male,"Milan, Lombardy, Italy","Milan, Lombardy, Italy",Pageant,0.0,7,2,1,0,0,1976.0,47.0
Q415,Farida Kant,F19S01,Riccardo Occhilupo,"November 1, 1987",Male,"Lecce, Apulia, Italy","Lecce, Apulia, Italy",Spooky,0.0,2,3,2,0,0,1987.0,36.0
Q416,Ivana Vamp,F19S01,Daniele Alì,"April 25, 1989",Male,"Arezzo, Tuscany, Italy","Arezzo, Tuscany, Italy",Comedy,0.0,8,0,0,1,0,1989.0,34.0
Q417,Le Riche,F19S01,Alberto Riccobono,35,Male,"Palermo, Sicily, Italy","Palermo, Sicily, Italy",Comedy,0.0,3,1,1,1,2,1987.0,36.0
Q418,Luquisha Lubamba,F19S01,Luca Marchi,"March 29, 1988",Male,"Rome, Lazio, Italy","Bologna, Emilia-Romagna",Club,1.0,4,0,0,2,2,1988.0,35.0
Q419,Alyssa Hunter,F10S14,Joshua Enrique Ortolaza Resto,"February 19, 1995",,"San Juan, Puerto Rico","Cataño, Puerto Rico",Club,0.0,13,1,0,0,0,1995.0,28.0
Q420,Angeria Paris VanMicheals,F10S14,Tommie Laron,"July 25, 1993",,"Atlanta, GA, USA","Atlanta, GA, USA",Pageant,0.0,3,5,2,4,2,1993.0,30.0
Q421,Bosco,F10S14,Chris Constantino,"June 11, 1993",Female,"Great Falls, MT, USA","Seattle, WA, USA",Pageant,0.0,4,5,3,2,1,1993.0,30.0
Q422,Daya Betty,F10S14,Trenton Clarke,"February 19, 1996",,"Springfield, MO, USA","Chicago, IL, USA",Spooky,0.0,5,5,1,2,2,1996.0,27.0
Q423,DeJa Skye,F10S14,Willie Redman,"April 22, 1990",,,"Fresno, CA, USA",Comedy,0.0,6,4,1,3,1,1990.0,33.0
Q424,Jasmine Kennedie,F10S14,Kyle Koritkowski,"May 22, 1999",Female,"Morgantown, WV, USA","Brooklyn, New York City, NY, USA",Pageant,0.0,8,3,0,1,4,1999.0,24.0
Q425,Jorgeous,F10S14,Jorge Meza,"November 27, 1999",Male,"San Antonio, TX, USA","Nashville, TN, USA",Look,0.0,7,3,1,3,4,1999.0,24.0
Q426,June Jambalaya,F10S14,Tyron'e Porter,June 1991,Male,"Jacksonville, FL, USA","Los Angeles, CA, USA",Club,0.0,14,0,0,0,1,1991.0,32.0
Q427,Kerri Colby,F10S14,Elyse Alessandra Anderson,"July 30, 1996",Female,"Dallas, TX, USA","Los Angeles, CA, USA",Pageant,0.0,9,5,0,0,1,1996.0,27.0
Q428,"Kornbread ""The Snack"" Jeté",F10S14,Demoria Elise Williams,"January 14, 1992",Female,"Columbia, SC, USA","Los Angeles, CA, USA",Club,1.0,12,1,1,0,0,1992.0,31.0
Q429,Lady Camden,F10S14,Rex Wheeler,"August 9, 1990",,"Camden Town, England, UK","Sacramento, CA, USA",Comedy,0.0,2,4,3,4,1,1990.0,33.0
Q430,Maddy Morphosis,F10S14,Daniel Truitt,"September 2, 1994",Male,"Fayetteville, AR, USA","Fayetteville, AR, USA",Pageant,0.0,10,2,0,0,1,1994.0,29.0
Q431,Orion Story,F10S14,Chance Lambert,"June 25, 1996",,"Grand Rapids, MI, USA","Grand Rapids, MI, USA",Pageant,0.0,11,1,0,0,0,1996.0,27.0
Q432,Willow Pill,F10S14,Willow Patterson,"January 22, 1995",Trans Femme,"Denver, CO, USA","Chicago, IL, USA",Comedy,0.0,1,4,2,6,2,1995.0,28.0
Q433,Pangina Heals,F20S01,Pan Pan Narkprasert(TH: ปันปัน นาคประเสริฐ)[6],"July 21, 1988",Male,"Samut Prakan, Thailand","Bangkok, Thailand",Club,0.0,6,0,4,2,0,1988.0,35.0
Q434,Ariel Rec,F18S02,Rubén Carrascosa,"July 5, 1988",Male,"Madrid, MD, Spain","Madrid, MD, Spain",Club,0.0,11,1,0,0,0,1988.0,35.0
Q435,Diamante Merybrown,F18S02,Jhemeler Castillo,"October 29, 1995",Non-Binary,"Zaragoza, AR, Spain","Madrid, MD, Spain",Club,0.0,7,2,0,1,1,1995.0,28.0
Q436,Drag Sethlas,F18S02,Borja Casillas Toledo,"January 26, 1991",Male,"Las Palmas, CN, Spain","Las Palmas, CN, Spain",Spooky,0.0,6,3,1,1,0,1991.0,32.0
Q437,Estrella Xtravaganza,F18S02,Fernando Carretero Vega,"December 2, 1995",Male,"Barcelona, CT, Spain","Madrid, MD, Spain",Look,0.0,2,4,2,1,2,1995.0,28.0
Q438,Jota Carajota,F18S02,Juan José Torres,"December 24, 2002",,"Jerez de la Frontera, Cádiz, AN, Spain","Madrid, MD, Spain",Look,0.0,9,1,0,0,1,2002.0,21.0
Q439,Juriji Der Klee,F18S02,Julia Carmen Rivet Jimenez,"August 8, 1990",Female,"Brussels, Belgium","Brussels, Belgium",Club,0.0,5,3,0,3,1,1990.0,33.0
Q440,Marina,F18S02,Joan López Galo,34,Non-Binary,"Barcelona, CT, Spain","Madrid, MD",Comedy,0.0,4,3,1,2,2,1988.0,35.0
Q441,Marisa Prisa,F18S02,Javier Eijo,"May 9, 1993",Male,,"Burela, GA, Spain",Pageant,0.0,12,0,0,0,0,1993.0,30.0
Q442,Onyx,F18S02,Pablo Durango,"May 29, 1988",Genderfluid (In Drag)Male (Out of Drag),,"Madrid, MD, Spain",Spooky,0.0,8,1,1,0,0,1988.0,35.0
Q443,Samantha Ballentines,F18S02,Francisco José Sánchez Jiménez,"July 13, 1986",Male,,"Cádiz, AN, Spain",Pageant,1.0,10,0,0,0,2,1986.0,37.0
Q444,Sharonne,F18S02,Cristóbal Garrido,"June 1, 1976",Male,,"Barcelona, CT, Spain",Pageant,0.0,1,1,4,5,0,1976.0,47.0
Q445,Venedita Von Däsh,F18S02,Borja Lison,"April 7, 1991",Male,"Elche, VC, Spain","Madrid, MD, Spain",Look,0.0,3,3,2,3,1,1991.0,32.0
Q446,The Vivienne,F11S07,James Williams,"April 12, 1992",,"Colwyn Bay, Denbighshire, Wales, UK","Liverpool, Merseyside, England, UK",Pageant,0.0,8,6,3,1,0,1992.0,31.0
Q447,Elips,F21S01,Ely Mechain,26,,,"Bordeaux, NAQ, France",Club,1.0,6,2,0,1,0,1996.0,27.0
Q448,Kam Hugh,F21S01,Camille Chailan,"July 14, 1998",,"Aubenas, ARA, France","Paris, IDF, France",Look,0.0,7,1,1,0,0,1998.0,25.0
Q449,La Big Bertha,F21S01,Loïc Assemat,36,,"Castres, OCC, France","Paris, IDF, France",Comedy,0.0,5,0,0,2,1,1986.0,37.0
Q450,La Briochée,F21S01,Maëva Trioux,31,Female,"Royan, NAQ, France","Palaiseau, Paris, IDF, France",Comedy,0.0,8,2,0,0,0,1991.0,32.0
Q451,La Grande Dame,F21S01,Yannick Martin Androf,23,,"Nice, PAC, France","Paris, IDF, France",Club,0.0,2,2,2,2,0,1999.0,24.0
Q452,La Kahena,F21S01,Malek Ben Halima,29,,"Tunis, Tunisia","Paris, IDF, France",Spooky,0.0,10,0,0,0,0,1993.0,30.0
Q454,Lova Ladiva,F21S01,Sébastien Ducellier,32,,"Toulouse, OCC, France","Paris, IDF, France",Pageant,0.0,9,0,0,0,1,1990.0,33.0
Q455,Paloma,F21S01,Hugo Bardin,"June 30, 1991",,"Clermont-Ferrand, ARA, France","Paris, IDF, France",Pageant,0.0,1,1,3,2,1,1991.0,32.0
Q456,Soa de Muse,F21S01,Soa,30,Non-Binary,"Saint-Denis, Paris, IDF, France","Paris, IDF, France",Club,0.0,3,0,3,2,2,1992.0,31.0
Q463,Kaos,F15S03,Jesilo Devon Bernard,"April 16, 1994",Non-Binary,"Winnipeg, MB, Canada","Calgary, AB, Canada",Spooky,0.0,9,1,0,1,0,1994.0,29.0
Q474,Minnie Cooper,F17S02,Aaron Farley,49,,,"Syndey, Australia",Comedy,0.0,7,2,0,1,0,1973.0,50.0
Q476,Pomara Fifth,F17S02,Brad Kennedy,"May 15, 1993",,"Sydney, Australia","Sydney, Australia",Comedy,0.0,8,2,0,0,0,1993.0,30.0
Q477,Spankie Jackzon,F17S02,Blair Macbeth,"November 4, 1984",,,"Palmerston North, New Zealand",Comedy,0.0,1,0,3,3,1,1984.0,39.0
Q478,Yuri Guaii,F17S02,Eliot Ireland,25,,,"Auckland, New Zealand",Pageant,0.0,6,0,1,2,0,1997.0,26.0
